Carimbo de data/hora,Qual o seu curso?,"Como você descreveria sua experiência prévia com matemática (Ensino Médio, Cálculo, etc.)?",O que você mais espera aprender ou alcançar neste curso?,"Comparando com as outras disciplinas que você está cursando este semestre, como você classifica a experiência geral de ""Introdução à Álgebra Linear"" até agora?","Em geral, quão claras têm sido as explicações dadas em aula?","O tema ""Álgebra Arcade"" (slides, exercícios temáticos, etc.) tem ajudado a tornar o conteúdo mais interessante ou compreensível?","Em sua percepção, o professor demonstra dominar o conteúdo apresentado?",Como você avalia a pontualidade e o cumprimento dos horários das aulas?,"As regras para as avaliações (o que será cobrado na P1, peso das notas, critérios de correção) foram explicadas de forma clara?","Com base no que foi apresentado, o processo de avaliação parece justo para você?","(Opcional) Se você tem alguma dúvida, sugestão ou preocupação sobre qualquer aspecto do curso, por favor, compartilhe abaixo.","Ultimamente, com que frequência você tem sentido dificuldade para se concentrar nos estudos?","Pensando nas demandas da universidade, como você descreveria seu nível de estresse ou ansiedade neste momento do semestre?",Você acredita que a prática regular de atividade física é uma ferramenta importante para a saúde mental e o controle da ansiedade?,"Atualmente, com que frequência você pratica alguma atividade física (caminhada, esporte, academia, etc.)?"," Pensando na dinâmica e no ritmo da aula, como você compara sua capacidade de acompanhar esta disciplina com a maioria das suas outras aulas?",Quais materiais de apoio você mais tem utilizado para estudar Álgebra Linear? (Marque todos que se aplicam),Qual das seguintes opções melhor descreve a atitude e o comportamento do professor em relação aos alunos?,"Pensando em todos os fatores que influenciam uma aula (o professor, o conteúdo, a sala, o horário, o número de alunos, etc.), qual das afirmações abaixo melhor descreve sua percepção geral sobre a disciplina até agora?"
12/09/2025 13:30:27,Eng. Mecânica,5,Aprofundar meu conhecimento na teoria matemática e no raciocínio abstrato.,Melhor que a média das outras disciplinas.,5,"Sim, ajuda muito a deixar a matéria mais leve e divertida.",5,Bom (geralmente pontual).,"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,4,"Sim, com certeza.",Raramente.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
12/09/2025 13:32:04,Eng. Mecânica,3,Aprofundar meu conhecimento na teoria matemática e no raciocínio abstrato.,Melhor que a média das outras disciplinas.,4,"Sim, ajuda muito a deixar a matéria mais leve e divertida.",5,Bom (geralmente pontual).,"Mais ou menos, tenho algumas dúvidas sobre o processo.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,3,"Talvez, mas não tenho certeza do impacto.",Raramente.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., O livro-texto recomendado (""Álgebra Linear com Aplicações"" de Howard Anton).","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
12/09/2025 13:34:21,Eng. Mecânica,1,Entender aplicações práticas,Na média das outras disciplinas.,5,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,3,"Sim, com certeza.",Raramente.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Vídeos na internet (YouTube, Khan Academy, etc.)., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
12/09/2025 13:36:47,Eng. Mecânica,4,Entender aplicações práticas,Na média das outras disciplinas.,5,"Sim, ajuda muito a deixar a matéria mais leve e divertida.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Raramente ou nunca.,2,"Sim, com certeza.",Atualmente não pratico.,Consigo acompanhar esta aula MAIS FACILMENTE do que a maioria das outras.,"Vídeos na internet (YouTube, Khan Academy, etc.).","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
12/09/2025 13:36:52,Eng. Mecânica,4,Obter uma boa nota e ser aprovado(a) na disciplina.,Melhor que a média das outras disciplinas.,4,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Excelente (sempre pontual),"Mais ou menos, tenho algumas dúvidas sobre o processo.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,5,"Sim, com certeza.",Regularmente (3 ou mais vezes por semana).,Consigo acompanhar esta aula MAIS FACILMENTE do que a maioria das outras.,"Vídeos na internet (YouTube, Khan Academy, etc.)., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
12/09/2025 13:39:39,Eng. Mecânica,4,Aprofundar meu conhecimento na teoria matemática e no raciocínio abstrato.,Na média das outras disciplinas.,3,"Sim, ajuda muito a deixar a matéria mais leve e divertida.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Às vezes.,4,"Sim, com certeza.",Raramente.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Listas de exercícios (""Missões"") do GitHub.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
12/09/2025 13:39:44,Eng. Mecânica,1,Obter uma boa nota e ser aprovado(a) na disciplina.,Melhor que a média das outras disciplinas.,5,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Quase sempre.,4,"Sim, com certeza.",Atualmente não pratico.,Tenho MAIS DIFICULDADE para acompanhar esta aula do que a maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Vídeos na internet (YouTube, Khan Academy, etc.).","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
12/09/2025 13:40:34,Eng. Mecânica,4,Obter uma boa nota e ser aprovado(a) na disciplina.,Melhor que a média das outras disciplinas.,5,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Às vezes.,3,"Sim, com certeza.",Ocasionalmente (1 a 2 vezes por semana).,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., O livro-texto recomendado (""Álgebra Linear com Aplicações"" de Howard Anton)., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
12/09/2025 13:41:26,Eng. Mecânica,3,Obter uma boa nota e ser aprovado(a) na disciplina.,Na média das outras disciplinas.,3,"É interessante, mas não faz muita diferença no meu aprendizado.",4,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",Evitar aulas após o almoço ,Frequentemente.,3,"Sim, com certeza.",Regularmente (3 ou mais vezes por semana).,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Vídeos na internet (YouTube, Khan Academy, etc.)., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
12/09/2025 13:42:39,Eng. Mecânica,3,Entender aplicações práticas,Na média das outras disciplinas.,3,"É interessante, mas não faz muita diferença no meu aprendizado.",3,Regular (às vezes atrasa ou termina muito antes/depois).,"Mais ou menos, tenho algumas dúvidas sobre o processo.","Sim, parece um processo justo e equilibrado.",Vc pode amenizar as gírias de jogos pq n estou entendendo muito sobre oq é para fazer,Às vezes.,2,"Sim, com certeza.",Ocasionalmente (1 a 2 vezes por semana).,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.",Não vejo as limitações externas como o principal problema. Minha experiência na aula está mais relacionada à didática ou ao estilo do professor.
12/09/2025 18:51:39,Eng. Mecânica,2,Obter uma boa nota e ser aprovado(a) na disciplina.,Melhor que a média das outras disciplinas.,3,"Sim, ajuda muito a deixar a matéria mais leve e divertida.",4,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,4,"Sim, com certeza.",Regularmente (3 ou mais vezes por semana).,Consigo acompanhar esta aula MAIS FACILMENTE do que a maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Outros livros ou artigos da internet., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
13/09/2025 17:17:51,Eng. Mecânica,1,Entender aplicações práticas,Na média das outras disciplinas.,5,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,3,"Sim, com certeza.",Raramente.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Vídeos na internet (YouTube, Khan Academy, etc.)., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
15/09/2025 13:24:59,Eng. Computação,5,Entender aplicações práticas,Na média das outras disciplinas.,5,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Às vezes.,2,"Sim, com certeza.",Regularmente (3 ou mais vezes por semana).,Consigo acompanhar esta aula MAIS FACILMENTE do que a maioria das outras.,"O livro-texto recomendado (""Álgebra Linear com Aplicações"" de Howard Anton).","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
15/09/2025 13:28:11,Eng. Computação,2,Obter uma boa nota e ser aprovado(a) na disciplina.,Pior que a média das outras disciplinas.,3,"Não, acho um pouco distrativo ou indiferente.",5,Excelente (sempre pontual),"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.","Por favor, bote a P1 no dia 06/10!!!!!",Frequentemente.,3,"Sim, com certeza.",Regularmente (3 ou mais vezes por semana).,Tenho MAIS DIFICULDADE para acompanhar esta aula do que a maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","Além da sala estar meio cheia, acredito que as conversas paralelas estão atrapalhando muito a aula."
15/09/2025 13:29:28,Eng. Computação,2,Apenas cumprir um requisito obrigatório do meu curso.,Na média das outras disciplinas.,1,"Sim, ajuda muito a deixar a matéria mais leve e divertida.",5,Bom (geralmente pontual).,"Sim, entendi perfeitamente como serei avaliado.",Tenho algumas preocupações sobre a justiça do processo.,,Quase sempre.,4,"Não, não vejo muita conexão.",Atualmente não pratico.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","As limitações (sala, horário, etc.) impactam negativamente a aula, e sinto que a experiência poderia ser melhorada, em parte pela forma como a aula é conduzida."
15/09/2025 13:30:10,Eng. Computação,4,Entender aplicações práticas,Pior que a média das outras disciplinas.,4,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Bom (geralmente pontual).,"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,3,"Sim, com certeza.",Atualmente não pratico.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"O livro-texto recomendado (""Álgebra Linear com Aplicações"" de Howard Anton)., Vídeos na internet (YouTube, Khan Academy, etc.)., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
15/09/2025 13:30:17,Eng. Computação,3,Obter uma boa nota e ser aprovado(a) na disciplina.,Melhor que a média das outras disciplinas.,3,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Bom (geralmente pontual).,"Sim, entendi perfeitamente como serei avaliado.","Sim, parece um processo justo e equilibrado.",,Frequentemente.,4,"Talvez, mas não tenho certeza do impacto.",Raramente.,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
15/09/2025 13:30:19,Eng. Computação,5,Aprofundar meu conhecimento na teoria matemática e no raciocínio abstrato.,Melhor que a média das outras disciplinas.,5,"É interessante, mas não faz muita diferença no meu aprendizado.",4,Bom (geralmente pontual).,"Mais ou menos, tenho algumas dúvidas sobre o processo.","Sim, parece um processo justo e equilibrado.",,Quase sempre.,4,"Sim, com certeza.",Regularmente (3 ou mais vezes por semana).,Consigo acompanhar esta aula de forma SIMILAR à maioria das outras.,"O livro-texto recomendado (""Álgebra Linear com Aplicações"" de Howard Anton).","Muito positiva: O professor é cordial, respeitoso e frequentemente tenta motivar e engajar a turma.","O professor está fazendo um excelente trabalho com as condições que tem, que me parecem adequadas para o aprendizado."
15/09/2025 13:30:27,Eng. Computação,2,Obter uma boa nota e ser aprovado(a) na disciplina.,Na média das outras disciplinas.,3,"É interessante, mas não faz muita diferença no meu aprendizado.",5,Excelente (sempre pontual),"Mais ou menos, tenho algumas dúvidas sobre o processo.","Sim, parece um processo justo e equilibrado.",,Às vezes.,5,"Sim, com certeza.",Atualmente não pratico.,Tenho MAIS DIFICULDADE para acompanhar esta aula do que a maioria das outras.,"Slides e materiais fornecidos no GitHub do curso., Listas de exercícios (""Missões"") do GitHub., Inteligência Artificial (ChatGPT, Copilot, etc.) para tirar dúvidas.","Profissional: O professor é educado e focado no conteúdo, tratando os alunos de forma estritamente profissional, sem muita interação extra.","Existem limitações claras (ex: sala muito cheia, horário ruim), mas sinto que o professor está fazendo o melhor possível para superá-las e oferecer uma boa aula."
